"TIME","GEO","GEO_LABEL","AGE","SEX","UNIT","Value"
"2019","EU27_2020","European Union - 27 countries (from 2020)","25 years or over","Total","Percentage","5.9"
"2019","EU27_2020","European Union - 27 countries (from 2020)","25 years or over","Males","Percentage","5.6"
"2019","EU27_2020","European Union - 27 countries (from 2020)","25 years or over","Females","Percentage","6.4"
"2019","EU28","European Union - 28 countries (2013-2020)","25 years or over","Total","Percentage","5.5"
"2019","EU28","European Union - 28 countries (2013-2020)","25 years or over","Males","Percentage","5.2"
"2019","EU28","European Union - 28 countries (2013-2020)","25 years or over","Females","Percentage","5.9"
"2019","EU15","European Union - 15 countries (1995-2004)","25 years or over","Total","Percentage","6.1"
"2019","EU15","European Union - 15 countries (1995-2004)","25 years or over","Males","Percentage","5.7"
"2019","EU15","European Union - 15 countries (1995-2004)","25 years or over","Females","Percentage","6.5"
"2019","EA19","Euro area - 19 countries  (from 2015)","25 years or over","Total","Percentage","6.8"
"2019","EA19","Euro area - 19 countries  (from 2015)","25 years or over","Males","Percentage","6.3"
"2019","EA19","Euro area - 19 countries  (from 2015)","25 years or over","Females","Percentage","7.3"
"2019","BE","Belgium","25 years or over","Total","Percentage","4.6"
"2019","BE","Belgium","25 years or over","Males","Percentage","4.9"
"2019","BE","Belgium","25 years or over","Females","Percentage","4.3"
"2019","BE1","Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest","25 years or over","Total","Percentage","11.6"
"2019","BE1","Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest","25 years or over","Males","Percentage","11.4"
"2019","BE1","Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest","25 years or over","Females","Percentage","11.8"
"2019","BE10","Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest","25 years or over","Total","Percentage","11.6"
"2019","BE10","Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest","25 years or over","Males","Percentage","11.4"
"2019","BE10","Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest","25 years or over","Females","Percentage","11.8"
"2019","BE2","Vlaams Gewest","25 years or over","Total","Percentage","2.6"
"2019","BE2","Vlaams Gewest","25 years or over","Males","Percentage","2.7"
"2019","BE2","Vlaams Gewest","25 years or over","Females","Percentage","2.6"
"2019","BE21","Prov. Antwerpen","25 years or over","Total","Percentage","3.0"
"2019","BE21","Prov. Antwerpen","25 years or over","Males","Percentage","3.2"
"2019","BE21","Prov. Antwerpen","25 years or over","Females","Percentage","2.8"
"2019","BE22","Prov. Limburg (BE)","25 years or over","Total","Percentage","2.6"
"2019","BE22","Prov. Limburg (BE)","25 years or over","Males","Percentage","2.5"
"2019","BE22","Prov. Limburg (BE)","25 years or over","Females","Percentage","2.8"
"2019","BE23","Prov. Oost-Vlaanderen","25 years or over","Total","Percentage","2.3"
"2019","BE23","Prov. Oost-Vlaanderen","25 years or over","Males","Percentage","2.7"
"2019","BE23","Prov. Oost-Vlaanderen","25 years or over","Females","Percentage","1.8"
"2019","BE24","Prov. Vlaams-Brabant","25 years or over","Total","Percentage","2.9"
"2019","BE24","Prov. Vlaams-Brabant","25 years or over","Males","Percentage","2.9"
"2019","BE24","Prov. Vlaams-Brabant","25 years or over","Females","Percentage","2.9"
"2019","BE25","Prov. West-Vlaanderen","25 years or over","Total","Percentage","2.3"
"2019","BE25","Prov. West-Vlaanderen","25 years or over","Males","Percentage","1.7"
"2019","BE25","Prov. West-Vlaanderen","25 years or over","Females","Percentage","2.9"
"2019","BE3","Région wallonne","25 years or over","Total","Percentage","6.0"
"2019","BE3","Région wallonne","25 years or over","Males","Percentage","6.8"
"2019","BE3","Région wallonne","25 years or over","Females","Percentage","5.1"
"2019","BE31","Prov. Brabant wallon","25 years or over","Total","Percentage","4.5"
"2019","BE31","Prov. Brabant wallon","25 years or over","Males","Percentage","4.4"
"2019","BE31","Prov. Brabant wallon","25 years or over","Females","Percentage","4.5"
"2019","BE32","Prov. Hainaut","25 years or over","Total","Percentage","7.5"
"2019","BE32","Prov. Hainaut","25 years or over","Males","Percentage","8.6"
"2019","BE32","Prov. Hainaut","25 years or over","Females","Percentage","6.3"
"2019","BE33","Prov. Liège","25 years or over","Total","Percentage","5.7"
"2019","BE33","Prov. Liège","25 years or over","Males","Percentage","6.6"
"2019","BE33","Prov. Liège","25 years or over","Females","Percentage","4.6"
"2019","BE34","Prov. Luxembourg (BE)","25 years or over","Total","Percentage","4.1"
"2019","BE34","Prov. Luxembourg (BE)","25 years or over","Males","Percentage","4.6"
"2019","BE34","Prov. Luxembourg (BE)","25 years or over","Females","Percentage",":"
"2019","BE35","Prov. Namur","25 years or over","Total","Percentage","5.6"
"2019","BE35","Prov. Namur","25 years or over","Males","Percentage","6.1"
"2019","BE35","Prov. Namur","25 years or over","Females","Percentage","4.9"
"2019","BG","Bulgaria","25 years or over","Total","Percentage","4.0"
"2019","BG","Bulgaria","25 years or over","Males","Percentage","4.3"
"2019","BG","Bulgaria","25 years or over","Females","Percentage","3.7"
"2019","BG3","Severna i yugoiztochna Bulgaria","25 years or over","Total","Percentage","5.8"
"2019","BG3","Severna i yugoiztochna Bulgaria","25 years or over","Males","Percentage","6.1"
"2019","BG3","Severna i yugoiztochna Bulgaria","25 years or over","Females","Percentage","5.4"
"2019","BG31","Severozapaden","25 years or over","Total","Percentage","10.3"
"2019","BG31","Severozapaden","25 years or over","Males","Percentage","11.3"
"2019","BG31","Severozapaden","25 years or over","Females","Percentage","9.0"
"2019","BG32","Severen tsentralen","25 years or over","Total","Percentage","4.7"
"2019","BG32","Severen tsentralen","25 years or over","Males","Percentage","5.0"
"2019","BG32","Severen tsentralen","25 years or over","Females","Percentage","4.5"
"2019","BG33","Severoiztochen","25 years or over","Total","Percentage","5.7"
"2019","BG33","Severoiztochen","25 years or over","Males","Percentage","5.1"
"2019","BG33","Severoiztochen","25 years or over","Females","Percentage","6.3"
"2019","BG34","Yugoiztochen","25 years or over","Total","Percentage","3.8"
"2019","BG34","Yugoiztochen","25 years or over","Males","Percentage","4.3"
"2019","BG34","Yugoiztochen","25 years or over","Females","Percentage","3.1"
"2019","BG4","Yugozapadna i yuzhna tsentralna Bulgaria","25 years or over","Total","Percentage","2.4"
"2019","BG4","Yugozapadna i yuzhna tsentralna Bulgaria","25 years or over","Males","Percentage","2.6"
"2019","BG4","Yugozapadna i yuzhna tsentralna Bulgaria","25 years or over","Females","Percentage","2.2"
"2019","BG41","Yugozapaden","25 years or over","Total","Percentage","2.2"
"2019","BG41","Yugozapaden","25 years or over","Males","Percentage","2.4"
"2019","BG41","Yugozapaden","25 years or over","Females","Percentage","1.9"
"2019","BG42","Yuzhen tsentralen","25 years or over","Total","Percentage","2.9"
