"TIME","GEO","AGE","SEX","UNIT","Value"
"2019","EU27_2020","From 15 to 24 years","Total","Percentage","15.1"
"2019","EU27_2020","From 15 to 24 years","Males","Percentage","15.4"
"2019","EU27_2020","From 15 to 24 years","Females","Percentage","14.8"
"2019","EU27_2020","25 years or over","Total","Percentage","5.9"
"2019","EU27_2020","25 years or over","Males","Percentage","5.6"
"2019","EU27_2020","25 years or over","Females","Percentage","6.4"
"2019","EU28","From 15 to 24 years","Total","Percentage","14.4"
"2019","EU28","From 15 to 24 years","Males","Percentage","15.0"
"2019","EU28","From 15 to 24 years","Females","Percentage","13.7"
"2019","EU28","25 years or over","Total","Percentage","5.5"
"2019","EU28","25 years or over","Males","Percentage","5.2"
"2019","EU28","25 years or over","Females","Percentage","5.9"
"2019","EU15","From 15 to 24 years","Total","Percentage","14.9"
"2019","EU15","From 15 to 24 years","Males","Percentage","15.6"
"2019","EU15","From 15 to 24 years","Females","Percentage","14.0"
"2019","EU15","25 years or over","Total","Percentage","6.1"
"2019","EU15","25 years or over","Males","Percentage","5.7"
"2019","EU15","25 years or over","Females","Percentage","6.5"
"2019","EA19","From 15 to 24 years","Total","Percentage","15.8"
"2019","EA19","From 15 to 24 years","Males","Percentage","16.2"
"2019","EA19","From 15 to 24 years","Females","Percentage","15.3"
"2019","EA19","25 years or over","Total","Percentage","6.8"
"2019","EA19","25 years or over","Males","Percentage","6.3"
"2019","EA19","25 years or over","Females","Percentage","7.3"
"2019","BE","From 15 to 24 years","Total","Percentage","14.2"
"2019","BE","From 15 to 24 years","Males","Percentage","16.0"
"2019","BE","From 15 to 24 years","Females","Percentage","12.3"
"2019","BE","25 years or over","Total","Percentage","4.6"
"2019","BE","25 years or over","Males","Percentage","4.9"
"2019","BE","25 years or over","Females","Percentage","4.3"
"2019","BE1","From 15 to 24 years","Total","Percentage","29.2"
"2019","BE1","From 15 to 24 years","Males","Percentage","33.7"
"2019","BE1","From 15 to 24 years","Females","Percentage","24.1"
"2019","BE1","25 years or over","Total","Percentage","11.6"
"2019","BE1","25 years or over","Males","Percentage","11.4"
"2019","BE1","25 years or over","Females","Percentage","11.8"
"2019","BE10","From 15 to 24 years","Total","Percentage","29.2"
"2019","BE10","From 15 to 24 years","Males","Percentage","33.7"
"2019","BE10","From 15 to 24 years","Females","Percentage","24.1"
"2019","BE10","25 years or over","Total","Percentage","11.6"
"2019","BE10","25 years or over","Males","Percentage","11.4"
"2019","BE10","25 years or over","Females","Percentage","11.8"
"2019","BE2","From 15 to 24 years","Total","Percentage","9.5"
"2019","BE2","From 15 to 24 years","Males","Percentage","10.1"
"2019","BE2","From 15 to 24 years","Females","Percentage","8.8"
"2019","BE2","25 years or over","Total","Percentage","2.6"
"2019","BE2","25 years or over","Males","Percentage","2.7"
"2019","BE2","25 years or over","Females","Percentage","2.6"
"2019","BE21","From 15 to 24 years","Total","Percentage","8.8"
"2019","BE21","From 15 to 24 years","Males","Percentage","10.4"
"2019","BE21","From 15 to 24 years","Females","Percentage","6.9"
"2019","BE21","25 years or over","Total","Percentage","3.0"
"2019","BE21","25 years or over","Males","Percentage","3.2"
"2019","BE21","25 years or over","Females","Percentage","2.8"
"2019","BE22","From 15 to 24 years","Total","Percentage","13.4"
"2019","BE22","From 15 to 24 years","Males","Percentage","13.7"
"2019","BE22","From 15 to 24 years","Females","Percentage","13.1"
"2019","BE22","25 years or over","Total","Percentage","2.6"
"2019","BE22","25 years or over","Males","Percentage","2.5"
"2019","BE22","25 years or over","Females","Percentage","2.8"
"2019","BE23","From 15 to 24 years","Total","Percentage","9.0"
"2019","BE23","From 15 to 24 years","Males","Percentage","8.8"
"2019","BE23","From 15 to 24 years","Females","Percentage","9.1"
"2019","BE23","25 years or over","Total","Percentage","2.3"
"2019","BE23","25 years or over","Males","Percentage","2.7"
"2019","BE23","25 years or over","Females","Percentage","1.8"
"2019","BE24","From 15 to 24 years","Total","Percentage","12.7"
"2019","BE24","From 15 to 24 years","Males","Percentage","13.3"
"2019","BE24","From 15 to 24 years","Females","Percentage","12.1"
"2019","BE24","25 years or over","Total","Percentage","2.9"
"2019","BE24","25 years or over","Males","Percentage","2.9"
"2019","BE24","25 years or over","Females","Percentage","2.9"
"2019","BE25","From 15 to 24 years","Total","Percentage","5.4"
"2019","BE25","From 15 to 24 years","Males","Percentage",":"
"2019","BE25","From 15 to 24 years","Females","Percentage",":"
"2019","BE25","25 years or over","Total","Percentage","2.3"
"2019","BE25","25 years or over","Males","Percentage","1.7"
"2019","BE25","25 years or over","Females","Percentage","2.9"
"2019","BE3","From 15 to 24 years","Total","Percentage","21.9"
"2019","BE3","From 15 to 24 years","Males","Percentage","25.4"
"2019","BE3","From 15 to 24 years","Females","Percentage","17.8"
"2019","BE3","25 years or over","Total","Percentage","6.0"
"2019","BE3","25 years or over","Males","Percentage","6.8"
"2019","BE3","25 years or over","Females","Percentage","5.1"
"2019","BE31","From 15 to 24 years","Total","Percentage","20.8"
"2019","BE31","From 15 to 24 years","Males","Percentage",":"
"2019","BE31","From 15 to 24 years","Females","Percentage",":"
"2019","BE31","25 years or over","Total","Percentage","4.5"
"2019","BE31","25 years or over","Males","Percentage","4.4"
"2019","BE31","25 years or over","Females","Percentage","4.5"
"2019","BE32","From 15 to 24 years","Total","Percentage","23.9"
"2019","BE32","From 15 to 24 years","Males","Percentage","27.2"
"2019","BE32","From 15 to 24 years","Females","Percentage","19.6"
"2019","BE32","25 years or over","Total","Percentage","7.5"
"2019","BE32","25 years or over","Males","Percentage","8.6"
"2019","BE32","25 years or over","Females","Percentage","6.3"
"2019","BE33","From 15 to 24 years","Total","Percentage","20.0"
"2019","BE33","From 15 to 24 years","Males","Percentage","20.2"
"2019","BE33","From 15 to 24 years","Females","Percentage","19.9"
"2019","BE33","25 years or over","Total","Percentage","5.7"
"2019","BE33","25 years or over","Males","Percentage","6.6"
"2019","BE33","25 years or over","Females","Percentage","4.6"
"2019","BE34","From 15 to 24 years","Total","Percentage","19.9"
"2019","BE34","From 15 to 24 years","Males","Percentage",":"
"2019","BE34","From 15 to 24 years","Females","Percentage",":"
"2019","BE34","25 years or over","Total","Percentage","4.1"
"2019","BE34","25 years or over","Males","Percentage","4.6"
"2019","BE34","25 years or over","Females","Percentage",":"
"2019","BE35","From 15 to 24 years","Total","Percentage","23.2"
"2019","BE35","From 15 to 24 years","Males","Percentage","32.7"
"2019","BE35","From 15 to 24 years","Females","Percentage",":"
"2019","BE35","25 years or over","Total","Percentage","5.6"
"2019","BE35","25 years or over","Males","Percentage","6.1"
"2019","BE35","25 years or over","Females","Percentage","4.9"
"2019","BG","From 15 to 24 years","Total","Percentage","8.9"
"2019","BG","From 15 to 24 years","Males","Percentage","9.3"
"2019","BG","From 15 to 24 years","Females","Percentage","8.3"
"2019","BG","25 years or over","Total","Percentage","4.0"
"2019","BG","25 years or over","Males","Percentage","4.3"
"2019","BG","25 years or over","Females","Percentage","3.7"
"2019","BG3","From 15 to 24 years","Total","Percentage","13.3"
"2019","BG3","From 15 to 24 years","Males","Percentage","13.1"
"2019","BG3","From 15 to 24 years","Females","Percentage","13.8"
"2019","BG3","25 years or over","Total","Percentage","5.8"
"2019","BG3","25 years or over","Males","Percentage","6.1"
"2019","BG3","25 years or over","Females","Percentage","5.4"
"2019","BG31","From 15 to 24 years","Total","Percentage","25.1"
"2019","BG31","From 15 to 24 years","Males","Percentage",":"
"2019","BG31","From 15 to 24 years","Females","Percentage",":"
"2019","BG31","25 years or over","Total","Percentage","10.3"
"2019","BG31","25 years or over","Males","Percentage","11.3"
"2019","BG31","25 years or over","Females","Percentage","9.0"
"2019","BG32","From 15 to 24 years","Total","Percentage",":"
"2019","BG32","From 15 to 24 years","Males","Percentage",":"
"2019","BG32","From 15 to 24 years","Females","Percentage",":"
"2019","BG32","25 years or over","Total","Percentage","4.7"
"2019","BG32","25 years or over","Males","Percentage","5.0"
"2019","BG32","25 years or over","Females","Percentage","4.5"
"2019","BG33","From 15 to 24 years","Total","Percentage",":"
"2019","BG33","From 15 to 24 years","Males","Percentage",":"
"2019","BG33","From 15 to 24 years","Females","Percentage",":"
"2019","BG33","25 years or over","Total","Percentage","5.7"
"2019","BG33","25 years or over","Males","Percentage","5.1"
