"TIME","GEO","INDIC_SB","SIZECLAS","NACE_R2","Value"
"2018","BG","Population of active enterprises in t - number","Zero","Industry, construction and services except insurance activities of holding companies","199,278"
"2018","BG","Population of active enterprises in t - number","From 1 to 9 employees","Industry, construction and services except insurance activities of holding companies","184,785"
"2018","BG","Population of active enterprises in t - number","10 employees or more","Industry, construction and services except insurance activities of holding companies","33,574"
"2018","BG3","Population of active enterprises in t - number","Zero","Industry, construction and services except insurance activities of holding companies","83,697"
"2018","BG3","Population of active enterprises in t - number","From 1 to 9 employees","Industry, construction and services except insurance activities of holding companies","77,209"
"2018","BG3","Population of active enterprises in t - number","10 employees or more","Industry, construction and services except insurance activities of holding companies","13,985"
"2018","BG31","Population of active enterprises in t - number","Zero","Industry, construction and services except insurance activities of holding companies","12,523"
"2018","BG31","Population of active enterprises in t - number","From 1 to 9 employees","Industry, construction and services except insurance activities of holding companies","13,532"
"2018","BG31","Population of active enterprises in t - number","10 employees or more","Industry, construction and services except insurance activities of holding companies","2,555"
"2018","BG311","Population of active enterprises in t - number","Zero","Industry, construction and services except insurance activities of holding companies","1,347"
"2018","BG311","Population of active enterprises in t - number","From 1 to 9 employees","Industry, construction and services except insurance activities of holding companies","1,469"
"2018","BG311","Population of active enterprises in t - number","10 employees or more","Industry, construction and services except insurance activities of holding companies","245"
"2018","BG312","Population of active enterprises in t - number","Zero","Industry, construction and services except insurance activities of holding companies","2,069"
"2018","BG312","Population of active enterprises in t - number","From 1 to 9 employees","Industry, construction and services except insurance activities of holding companies","2,079"
"2018","BG312","Population of active enterprises in t - number","10 employees or more","Industry, construction and services except insurance activities of holding companies","440"
"2018","BG313","Population of active enterprises in t - number","Zero","Industry, construction and services except insurance activities of holding companies","2,568"
"2018","BG313","Population of active enterprises in t - number","From 1 to 9 employees","Industry, construction and services except insurance activities of holding companies","2,787"
"2018","BG313","Population of active enterprises in t - number","10 employees or more","Industry, construction and services except insurance activities of holding companies","524"
"2018","BG314","Population of active enterprises in t - number","Zero","Industry, construction and services except insurance activities of holding companies","4,131"
"2018","BG314","Population of active enterprises in t - number","From 1 to 9 employees","Industry, construction and services except insurance activities of holding companies","4,580"
"2018","BG314","Population of active enterprises in t - number","10 employees or more","Industry, construction and services except insurance activities of holding companies","856"
"2018","BG315","Population of active enterprises in t - number","Zero","Industry, construction and services except insurance activities of holding companies","2,408"
"2018","BG315","Population of active enterprises in t - number","From 1 to 9 employees","Industry, construction and services except insurance activities of holding companies","2,617"
"2018","BG315","Population of active enterprises in t - number","10 employees or more","Industry, construction and services except insurance activities of holding companies","490"
"2018","BG32","Population of active enterprises in t - number","Zero","Industry, construction and services except insurance activities of holding companies","16,532"
"2018","BG32","Population of active enterprises in t - number","From 1 to 9 employees","Industry, construction and services except insurance activities of holding companies","16,441"
"2018","BG32","Population of active enterprises in t - number","10 employees or more","Industry, construction and services except insurance activities of holding companies","3,149"
"2018","BG321","Population of active enterprises in t - number","Zero","Industry, construction and services except insurance activities of holding companies","4,721"
"2018","BG321","Population of active enterprises in t - number","From 1 to 9 employees","Industry, construction and services except insurance activities of holding companies","4,871"
"2018","BG321","Population of active enterprises in t - number","10 employees or more","Industry, construction and services except insurance activities of holding companies","924"
"2018","BG322","Population of active enterprises in t - number","Zero","Industry, construction and services except insurance activities of holding companies","2,892"
"2018","BG322","Population of active enterprises in t - number","From 1 to 9 employees","Industry, construction and services except insurance activities of holding companies","2,668"
"2018","BG322","Population of active enterprises in t - number","10 employees or more","Industry, construction and services except insurance activities of holding companies","559"
"2018","BG323","Population of active enterprises in t - number","Zero","Industry, construction and services except insurance activities of holding companies","5,436"
"2018","BG323","Population of active enterprises in t - number","From 1 to 9 employees","Industry, construction and services except insurance activities of holding companies","5,127"
"2018","BG323","Population of active enterprises in t - number","10 employees or more","Industry, construction and services except insurance activities of holding companies","977"
"2018","BG324","Population of active enterprises in t - number","Zero","Industry, construction and services except insurance activities of holding companies","1,798"
"2018","BG324","Population of active enterprises in t - number","From 1 to 9 employees","Industry, construction and services except insurance activities of holding companies","2,007"
"2018","BG324","Population of active enterprises in t - number","10 employees or more","Industry, construction and services except insurance activities of holding companies","373"
"2018","BG325","Population of active enterprises in t - number","Zero","Industry, construction and services except insurance activities of holding companies","1,685"
"2018","BG325","Population of active enterprises in t - number","From 1 to 9 employees","Industry, construction and services except insurance activities of holding companies","1,768"
"2018","BG325","Population of active enterprises in t - number","10 employees or more","Industry, construction and services except insurance activities of holding companies","316"
