"TIME","GEO","CITIZEN","ISCED11","AGE","UNIT","SEX","Value"
"2019","EU27_2020","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 20 to 64 years","Percentage","Total","55.7"
"2019","EU27_2020","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 20 to 64 years","Percentage","Males","66.4"
"2019","EU27_2020","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 20 to 64 years","Percentage","Females","44.3"
"2019","EU27_2020","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 20 to 64 years","Percentage","Total","73.4"
"2019","EU27_2020","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 20 to 64 years","Percentage","Males","79.2"
"2019","EU27_2020","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 20 to 64 years","Percentage","Females","67.1"
"2019","EU27_2020","Total","Tertiary education (levels 5-8)","From 20 to 64 years","Percentage","Total","84.8"
"2019","EU27_2020","Total","Tertiary education (levels 5-8)","From 20 to 64 years","Percentage","Males","88.2"
"2019","EU27_2020","Total","Tertiary education (levels 5-8)","From 20 to 64 years","Percentage","Females","81.8"
"2019","EU28","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 20 to 64 years","Percentage","Total","56.7"
"2019","EU28","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 20 to 64 years","Percentage","Males","67.1"
"2019","EU28","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 20 to 64 years","Percentage","Females","45.6"
"2019","EU28","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 20 to 64 years","Percentage","Total","73.9"
"2019","EU28","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 20 to 64 years","Percentage","Males","79.7"
"2019","EU28","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 20 to 64 years","Percentage","Females","67.7"
"2019","EU28","Total","Tertiary education (levels 5-8)","From 20 to 64 years","Percentage","Total","85.0"
"2019","EU28","Total","Tertiary education (levels 5-8)","From 20 to 64 years","Percentage","Males","88.4"
"2019","EU28","Total","Tertiary education (levels 5-8)","From 20 to 64 years","Percentage","Females","82.1"
"2019","EU15","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 20 to 64 years","Percentage","Total","57.4"
"2019","EU15","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 20 to 64 years","Percentage","Males","67.5"
"2019","EU15","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 20 to 64 years","Percentage","Females","46.5"
"2019","EU15","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 20 to 64 years","Percentage","Total","74.4"
"2019","EU15","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 20 to 64 years","Percentage","Males","79.4"
"2019","EU15","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 20 to 64 years","Percentage","Females","69.2"
"2019","EU15","Total","Tertiary education (levels 5-8)","From 20 to 64 years","Percentage","Total","84.5"
"2019","EU15","Total","Tertiary education (levels 5-8)","From 20 to 64 years","Percentage","Males","87.7"
"2019","EU15","Total","Tertiary education (levels 5-8)","From 20 to 64 years","Percentage","Females","81.7"
"2019","EA19","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 20 to 64 years","Percentage","Total","56.1"
"2019","EA19","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 20 to 64 years","Percentage","Males","66.5"
"2019","EA19","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 20 to 64 years","Percentage","Females","44.9"
"2019","EA19","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 20 to 64 years","Percentage","Total","73.4"
"2019","EA19","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 20 to 64 years","Percentage","Males","78.4"
"2019","EA19","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 20 to 64 years","Percentage","Females","68.2"
"2019","EA19","Total","Tertiary education (levels 5-8)","From 20 to 64 years","Percentage","Total","84.0"
"2019","EA19","Total","Tertiary education (levels 5-8)","From 20 to 64 years","Percentage","Males","87.4"
"2019","EA19","Total","Tertiary education (levels 5-8)","From 20 to 64 years","Percentage","Females","81.0"
"2019","BE","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 20 to 64 years","Percentage","Total","46.3"
