"TIME","GEO","SEX","AGE","UNIT","ISCED11","Value"
"1992","European Union - 27 countries (from 2020)","Total","From 15 to 64 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)",":"
"1992","European Union - 27 countries (from 2020)","Total","From 15 to 64 years","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",":"
"1992","European Union - 27 countries (from 2020)","Total","From 15 to 64 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)",":"
"1992","European Union - 27 countries (from 2020)","Total","From 15 to 64 years","Percentage","Tertiary education (levels 5-8)",":"
"1992","European Union - 27 countries (from 2020)","Males","From 15 to 64 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)",":"
"1992","European Union - 27 countries (from 2020)","Males","From 15 to 64 years","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",":"
"1992","European Union - 27 countries (from 2020)","Males","From 15 to 64 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)",":"
"1992","European Union - 27 countries (from 2020)","Males","From 15 to 64 years","Percentage","Tertiary education (levels 5-8)",":"
"1992","European Union - 27 countries (from 2020)","Females","From 15 to 64 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)",":"
"1992","European Union - 27 countries (from 2020)","Females","From 15 to 64 years","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",":"
"1992","European Union - 27 countries (from 2020)","Females","From 15 to 64 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)",":"
"1992","European Union - 27 countries (from 2020)","Females","From 15 to 64 years","Percentage","Tertiary education (levels 5-8)",":"
"1992","European Union - 28 countries (2013-2020)","Total","From 15 to 64 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)",":"
"1992","European Union - 28 countries (2013-2020)","Total","From 15 to 64 years","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",":"
"1992","European Union - 28 countries (2013-2020)","Total","From 15 to 64 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)",":"
"1992","European Union - 28 countries (2013-2020)","Total","From 15 to 64 years","Percentage","Tertiary education (levels 5-8)",":"
"1992","European Union - 28 countries (2013-2020)","Males","From 15 to 64 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)",":"
"1992","European Union - 28 countries (2013-2020)","Males","From 15 to 64 years","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",":"
"1992","European Union - 28 countries (2013-2020)","Males","From 15 to 64 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)",":"
"1992","European Union - 28 countries (2013-2020)","Males","From 15 to 64 years","Percentage","Tertiary education (levels 5-8)",":"
"1992","European Union - 28 countries (2013-2020)","Females","From 15 to 64 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)",":"
"1992","European Union - 28 countries (2013-2020)","Females","From 15 to 64 years","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",":"
"1992","European Union - 28 countries (2013-2020)","Females","From 15 to 64 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)",":"
"1992","European Union - 28 countries (2013-2020)","Females","From 15 to 64 years","Percentage","Tertiary education (levels 5-8)",":"
"1992","European Union - 15 countries (1995-2004)","Total","From 15 to 64 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)",":"
"1992","European Union - 15 countries (1995-2004)","Total","From 15 to 64 years","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",":"
"1992","European Union - 15 countries (1995-2004)","Total","From 15 to 64 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)",":"
"1992","European Union - 15 countries (1995-2004)","Total","From 15 to 64 years","Percentage","Tertiary education (levels 5-8)",":"
"1992","European Union - 15 countries (1995-2004)","Males","From 15 to 64 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)",":"
"1992","European Union - 15 countries (1995-2004)","Males","From 15 to 64 years","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",":"
"1992","European Union - 15 countries (1995-2004)","Males","From 15 to 64 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)",":"
"1992","European Union - 15 countries (1995-2004)","Males","From 15 to 64 years","Percentage","Tertiary education (levels 5-8)",":"
"1992","European Union - 15 countries (1995-2004)","Females","From 15 to 64 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)",":"
"1992","European Union - 15 countries (1995-2004)","Females","From 15 to 64 years","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",":"
"1992","European Union - 15 countries (1995-2004)","Females","From 15 to 64 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)",":"
"1992","European Union - 15 countries (1995-2004)","Females","From 15 to 64 years","Percentage","Tertiary education (levels 5-8)",":"
"1992","Euro area - 19 countries  (from 2015)","Total","From 15 to 64 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)",":"
"1992","Euro area - 19 countries  (from 2015)","Total","From 15 to 64 years","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",":"
"1992","Euro area - 19 countries  (from 2015)","Total","From 15 to 64 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)",":"
"1992","Euro area - 19 countries  (from 2015)","Total","From 15 to 64 years","Percentage","Tertiary education (levels 5-8)",":"
"1992","Euro area - 19 countries  (from 2015)","Males","From 15 to 64 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)",":"
"1992","Euro area - 19 countries  (from 2015)","Males","From 15 to 64 years","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",":"
"1992","Euro area - 19 countries  (from 2015)","Males","From 15 to 64 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)",":"
"1992","Euro area - 19 countries  (from 2015)","Males","From 15 to 64 years","Percentage","Tertiary education (levels 5-8)",":"
"1992","Euro area - 19 countries  (from 2015)","Females","From 15 to 64 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)",":"
"1992","Euro area - 19 countries  (from 2015)","Females","From 15 to 64 years","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",":"
"1992","Euro area - 19 countries  (from 2015)","Females","From 15 to 64 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)",":"
"1992","Euro area - 19 countries  (from 2015)","Females","From 15 to 64 years","Percentage","Tertiary education (levels 5-8)",":"
"1992","Belgium","Total","From 15 to 64 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","49.6"
"1992","Belgium","Total","From 15 to 64 years","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","50.4"
"1992","Belgium","Total","From 15 to 64 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","32.0"
"1992","Belgium","Total","From 15 to 64 years","Percentage","Tertiary education (levels 5-8)","18.4"
"1992","Belgium","Males","From 15 to 64 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","48.4"
"1992","Belgium","Males","From 15 to 64 years","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","51.6"
"1992","Belgium","Males","From 15 to 64 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","33.1"
"1992","Belgium","Males","From 15 to 64 years","Percentage","Tertiary education (levels 5-8)","18.5"
"1992","Belgium","Females","From 15 to 64 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","50.9"
"1992","Belgium","Females","From 15 to 64 years","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","49.1"
"1992","Belgium","Females","From 15 to 64 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","30.9"
"1992","Belgium","Females","From 15 to 64 years","Percentage","Tertiary education (levels 5-8)","18.2"
"1992","Bulgaria","Total","From 15 to 64 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)",":"
"1992","Bulgaria","Total","From 15 to 64 years","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",":"
"1992","Bulgaria","Total","From 15 to 64 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)",":"
"1992","Bulgaria","Total","From 15 to 64 years","Percentage","Tertiary education (levels 5-8)",":"
"1992","Bulgaria","Males","From 15 to 64 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)",":"
"1992","Bulgaria","Males","From 15 to 64 years","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",":"
"1992","Bulgaria","Males","From 15 to 64 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)",":"
"1992","Bulgaria","Males","From 15 to 64 years","Percentage","Tertiary education (levels 5-8)",":"
"1992","Bulgaria","Females","From 15 to 64 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)",":"
"1992","Bulgaria","Females","From 15 to 64 years","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",":"
"1992","Bulgaria","Females","From 15 to 64 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)",":"
"1992","Bulgaria","Females","From 15 to 64 years","Percentage","Tertiary education (levels 5-8)",":"
"1992","Czechia","Total","From 15 to 64 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)",":"
"1992","Czechia","Total","From 15 to 64 years","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",":"
"1992","Czechia","Total","From 15 to 64 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)",":"
"1992","Czechia","Total","From 15 to 64 years","Percentage","Tertiary education (levels 5-8)",":"
"1992","Czechia","Males","From 15 to 64 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)",":"
"1992","Czechia","Males","From 15 to 64 years","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",":"
"1992","Czechia","Males","From 15 to 64 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)",":"
"1992","Czechia","Males","From 15 to 64 years","Percentage","Tertiary education (levels 5-8)",":"
"1992","Czechia","Females","From 15 to 64 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)",":"
"1992","Czechia","Females","From 15 to 64 years","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",":"
"1992","Czechia","Females","From 15 to 64 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)",":"
"1992","Czechia","Females","From 15 to 64 years","Percentage","Tertiary education (levels 5-8)",":"
"1992","Denmark","Total","From 15 to 64 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","32.0"
"1992","Denmark","Total","From 15 to 64 years","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","68.0"
"1992","Denmark","Total","From 15 to 64 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","52.6"
"1992","Denmark","Total","From 15 to 64 years","Percentage","Tertiary education (levels 5-8)","15.4"
"1992","Denmark","Males","From 15 to 64 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","27.5"
"1992","Denmark","Males","From 15 to 64 years","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","72.5"
"1992","Denmark","Males","From 15 to 64 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","57.2"
"1992","Denmark","Males","From 15 to 64 years","Percentage","Tertiary education (levels 5-8)","15.2"
"1992","Denmark","Females","From 15 to 64 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","36.6"
"1992","Denmark","Females","From 15 to 64 years","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","63.4"
"1992","Denmark","Females","From 15 to 64 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","47.9"
"1992","Denmark","Females","From 15 to 64 years","Percentage","Tertiary education (levels 5-8)","15.5"
"1992","Germany (until 1990 former territory of the FRG)","Total","From 15 to 64 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","24.3"
"1992","Germany (until 1990 former territory of the FRG)","Total","From 15 to 64 years","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","75.7"
"1992","Germany (until 1990 former territory of the FRG)","Total","From 15 to 64 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","57.8"
"1992","Germany (until 1990 former territory of the FRG)","Total","From 15 to 64 years","Percentage","Tertiary education (levels 5-8)","17.9"
"1992","Germany (until 1990 former territory of the FRG)","Males","From 15 to 64 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","19.1"
"1992","Germany (until 1990 former territory of the FRG)","Males","From 15 to 64 years","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","80.9"
"1992","Germany (until 1990 former territory of the FRG)","Males","From 15 to 64 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","58.2"
"1992","Germany (until 1990 former territory of the FRG)","Males","From 15 to 64 years","Percentage","Tertiary education (levels 5-8)","22.8"
"1992","Germany (until 1990 former territory of the FRG)","Females","From 15 to 64 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","29.6"
"1992","Germany (until 1990 former territory of the FRG)","Females","From 15 to 64 years","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","70.4"
"1992","Germany (until 1990 former territory of the FRG)","Females","From 15 to 64 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","57.4"
"1992","Germany (until 1990 former territory of the FRG)","Females","From 15 to 64 years","Percentage","Tertiary education (levels 5-8)","13.0"
"1992","Estonia","Total","From 15 to 64 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)",":"
"1992","Estonia","Total","From 15 to 64 years","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",":"
"1992","Estonia","Total","From 15 to 64 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)",":"
"1992","Estonia","Total","From 15 to 64 years","Percentage","Tertiary education (levels 5-8)",":"
"1992","Estonia","Males","From 15 to 64 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)",":"
"1992","Estonia","Males","From 15 to 64 years","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",":"
"1992","Estonia","Males","From 15 to 64 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)",":"
"1992","Estonia","Males","From 15 to 64 years","Percentage","Tertiary education (levels 5-8)",":"
"1992","Estonia","Females","From 15 to 64 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)",":"
"1992","Estonia","Females","From 15 to 64 years","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",":"
"1992","Estonia","Females","From 15 to 64 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)",":"
"1992","Estonia","Females","From 15 to 64 years","Percentage","Tertiary education (levels 5-8)",":"
"1992","Ireland","Total","From 15 to 64 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","57.1"
"1992","Ireland","Total","From 15 to 64 years","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","42.9"
"1992","Ireland","Total","From 15 to 64 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","28.3"
"1992","Ireland","Total","From 15 to 64 years","Percentage","Tertiary education (levels 5-8)","14.7"
"1992","Ireland","Males","From 15 to 64 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","60.4"
"1992","Ireland","Males","From 15 to 64 years","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","39.6"
"1992","Ireland","Males","From 15 to 64 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","24.6"
"1992","Ireland","Males","From 15 to 64 years","Percentage","Tertiary education (levels 5-8)","15.1"
"1992","Ireland","Females","From 15 to 64 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","53.7"
"1992","Ireland","Females","From 15 to 64 years","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","46.3"
"1992","Ireland","Females","From 15 to 64 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","32.0"
"1992","Ireland","Females","From 15 to 64 years","Percentage","Tertiary education (levels 5-8)","14.3"
"1992","Greece","Total","From 15 to 64 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","61.0"
"1992","Greece","Total","From 15 to 64 years","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","39.0"
"1992","Greece","Total","From 15 to 64 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","28.5"
"1992","Greece","Total","From 15 to 64 years","Percentage","Tertiary education (levels 5-8)","10.5"
"1992","Greece","Males","From 15 to 64 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","59.4"
"1992","Greece","Males","From 15 to 64 years","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","40.6"
"1992","Greece","Males","From 15 to 64 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","28.2"
"1992","Greece","Males","From 15 to 64 years","Percentage","Tertiary education (levels 5-8)","12.4"
"1992","Greece","Females","From 15 to 64 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","62.5"
"1992","Greece","Females","From 15 to 64 years","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","37.5"
