"TIME","GEO","SEX","AGE","CITIZEN","UNIT","Value"
"1995","European Union - 27 countries (from 2020)","Total","From 15 to 64 years","Total","Percentage",":"
"1995","European Union - 27 countries (from 2020)","Males","From 15 to 64 years","Total","Percentage",":"
"1995","European Union - 27 countries (from 2020)","Females","From 15 to 64 years","Total","Percentage",":"
"1995","European Union - 28 countries (2013-2020)","Total","From 15 to 64 years","Total","Percentage",":"
"1995","European Union - 28 countries (2013-2020)","Males","From 15 to 64 years","Total","Percentage",":"
"1995","European Union - 28 countries (2013-2020)","Females","From 15 to 64 years","Total","Percentage",":"
"1995","European Union - 15 countries (1995-2004)","Total","From 15 to 64 years","Total","Percentage","11.5"
"1995","European Union - 15 countries (1995-2004)","Males","From 15 to 64 years","Total","Percentage","10.7"
"1995","European Union - 15 countries (1995-2004)","Females","From 15 to 64 years","Total","Percentage","12.6"
"1995","Euro area - 19 countries  (from 2015)","Total","From 15 to 64 years","Total","Percentage",":"
"1995","Euro area - 19 countries  (from 2015)","Males","From 15 to 64 years","Total","Percentage",":"
"1995","Euro area - 19 countries  (from 2015)","Females","From 15 to 64 years","Total","Percentage",":"
"1995","Belgium","Total","From 15 to 64 years","Total","Percentage","5.3"
"1995","Belgium","Males","From 15 to 64 years","Total","Percentage","3.9"
"1995","Belgium","Females","From 15 to 64 years","Total","Percentage","7.4"
"1995","Bulgaria","Total","From 15 to 64 years","Total","Percentage",":"
"1995","Bulgaria","Males","From 15 to 64 years","Total","Percentage",":"
"1995","Bulgaria","Females","From 15 to 64 years","Total","Percentage",":"
"1995","Czechia","Total","From 15 to 64 years","Total","Percentage",":"
"1995","Czechia","Males","From 15 to 64 years","Total","Percentage",":"
"1995","Czechia","Females","From 15 to 64 years","Total","Percentage",":"
"1995","Denmark","Total","From 15 to 64 years","Total","Percentage","12.1"
"1995","Denmark","Males","From 15 to 64 years","Total","Percentage","10.9"
"1995","Denmark","Females","From 15 to 64 years","Total","Percentage","13.5"
"1995","Germany (until 1990 former territory of the FRG)","Total","From 15 to 64 years","Total","Percentage","10.4"
"1995","Germany (until 1990 former territory of the FRG)","Males","From 15 to 64 years","Total","Percentage","9.9"
"1995","Germany (until 1990 former territory of the FRG)","Females","From 15 to 64 years","Total","Percentage","11.1"
"1995","Estonia","Total","From 15 to 64 years","Total","Percentage",":"
"1995","Estonia","Males","From 15 to 64 years","Total","Percentage",":"
"1995","Estonia","Females","From 15 to 64 years","Total","Percentage",":"
"1995","Ireland","Total","From 15 to 64 years","Total","Percentage","10.2"
"1995","Ireland","Males","From 15 to 64 years","Total","Percentage","8.7"
"1995","Ireland","Females","From 15 to 64 years","Total","Percentage","12.3"
"1995","Greece","Total","From 15 to 64 years","Total","Percentage","10.2"
"1995","Greece","Males","From 15 to 64 years","Total","Percentage","9.5"
"1995","Greece","Females","From 15 to 64 years","Total","Percentage","11.2"
"1995","Spain","Total","From 15 to 64 years","Total","Percentage","35.0"
"1995","Spain","Males","From 15 to 64 years","Total","Percentage","33.3"
"1995","Spain","Females","From 15 to 64 years","Total","Percentage","38.3"
"1995","France","Total","From 15 to 64 years","Total","Percentage","12.2"
"1995","France","Males","From 15 to 64 years","Total","Percentage","11.3"
"1995","France","Females","From 15 to 64 years","Total","Percentage","13.4"
"1995","Croatia","Total","From 15 to 64 years","Total","Percentage",":"
"1995","Croatia","Males","From 15 to 64 years","Total","Percentage",":"
"1995","Croatia","Females","From 15 to 64 years","Total","Percentage",":"
"1995","Italy","Total","From 15 to 64 years","Total","Percentage","7.2"
"1995","Italy","Males","From 15 to 64 years","Total","Percentage","6.0"
"1995","Italy","Females","From 15 to 64 years","Total","Percentage","9.2"
"1995","Cyprus","Total","From 15 to 64 years","Total","Percentage",":"
"1995","Cyprus","Males","From 15 to 64 years","Total","Percentage",":"
"1995","Cyprus","Females","From 15 to 64 years","Total","Percentage",":"
"1995","Latvia","Total","From 15 to 64 years","Total","Percentage",":"
"1995","Latvia","Males","From 15 to 64 years","Total","Percentage",":"
"1995","Latvia","Females","From 15 to 64 years","Total","Percentage",":"
"1995","Lithuania","Total","From 15 to 64 years","Total","Percentage",":"
"1995","Lithuania","Males","From 15 to 64 years","Total","Percentage",":"
"1995","Lithuania","Females","From 15 to 64 years","Total","Percentage",":"
"1995","Luxembourg","Total","From 15 to 64 years","Total","Percentage",":"
