"TIME","GEO","INDIC_IL","Value"
"2003","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Gini coefficient (scale from 0 to 100)",":"
"2003","European Union - 27 countries (from 2020)","Gini coefficient (scale from 0 to 100)",":"
"2003","European Union - 28 countries (2013-2020)","Gini coefficient (scale from 0 to 100)",":"
"2003","European Union - 27 countries (2007-2013)","Gini coefficient (scale from 0 to 100)",":"
"2003","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Gini coefficient (scale from 0 to 100)",":"
"2003","Euro area - 19 countries  (from 2015)","Gini coefficient (scale from 0 to 100)",":"
"2003","Euro area - 18 countries (2014)","Gini coefficient (scale from 0 to 100)",":"
"2003","Belgium","Gini coefficient (scale from 0 to 100)","50.8"
"2003","Bulgaria","Gini coefficient (scale from 0 to 100)",":"
"2003","Czechia","Gini coefficient (scale from 0 to 100)",":"
"2003","Denmark","Gini coefficient (scale from 0 to 100)","46.4"
"2003","Germany (until 1990 former territory of the FRG)","Gini coefficient (scale from 0 to 100)",":"
"2003","Estonia","Gini coefficient (scale from 0 to 100)",":"
"2003","Ireland","Gini coefficient (scale from 0 to 100)","44.2"
"2003","Greece","Gini coefficient (scale from 0 to 100)","49.0"
"2003","Spain","Gini coefficient (scale from 0 to 100)",":"
"2003","France","Gini coefficient (scale from 0 to 100)",":"
"2003","Croatia","Gini coefficient (scale from 0 to 100)",":"
"2003","Italy","Gini coefficient (scale from 0 to 100)",":"
"2003","Cyprus","Gini coefficient (scale from 0 to 100)",":"
"2003","Latvia","Gini coefficient (scale from 0 to 100)",":"
"2003","Lithuania","Gini coefficient (scale from 0 to 100)",":"
"2003","Luxembourg","Gini coefficient (scale from 0 to 100)","44.6"
"2003","Hungary","Gini coefficient (scale from 0 to 100)",":"
"2003","Malta","Gini coefficient (scale from 0 to 100)",":"
"2003","Netherlands","Gini coefficient (scale from 0 to 100)",":"
"2003","Austria","Gini coefficient (scale from 0 to 100)","46.2"
"2003","Poland","Gini coefficient (scale from 0 to 100)",":"
"2003","Portugal","Gini coefficient (scale from 0 to 100)",":"
"2003","Romania","Gini coefficient (scale from 0 to 100)",":"
"2003","Slovenia","Gini coefficient (scale from 0 to 100)",":"
"2003","Slovakia","Gini coefficient (scale from 0 to 100)",":"
"2003","Finland","Gini coefficient (scale from 0 to 100)",":"
"2003","Sweden","Gini coefficient (scale from 0 to 100)",":"
"2003","Iceland","Gini coefficient (scale from 0 to 100)",":"
"2003","Norway","Gini coefficient (scale from 0 to 100)","42.1"
"2003","Switzerland","Gini coefficient (scale from 0 to 100)",":"
"2003","United Kingdom","Gini coefficient (scale from 0 to 100)",":"
"2003","Montenegro","Gini coefficient (scale from 0 to 100)",":"
"2003","North Macedonia","Gini coefficient (scale from 0 to 100)",":"
"2003","Serbia","Gini coefficient (scale from 0 to 100)",":"
"2003","Turkey","Gini coefficient (scale from 0 to 100)",":"
"2003","Kosovo (under United Nations Security Council Resolution 1244/99)","Gini coefficient (scale from 0 to 100)",":"
"2004","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Gini coefficient (scale from 0 to 100)",":"
"2004","European Union - 27 countries (from 2020)","Gini coefficient (scale from 0 to 100)",":"
"2004","European Union - 28 countries (2013-2020)","Gini coefficient (scale from 0 to 100)",":"
"2004","European Union - 27 countries (2007-2013)","Gini coefficient (scale from 0 to 100)",":"
"2004","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Gini coefficient (scale from 0 to 100)",":"
"2004","Euro area - 19 countries  (from 2015)","Gini coefficient (scale from 0 to 100)",":"
"2004","Euro area - 18 countries (2014)","Gini coefficient (scale from 0 to 100)","48.6"
"2004","Belgium","Gini coefficient (scale from 0 to 100)","48.6"
"2004","Bulgaria","Gini coefficient (scale from 0 to 100)",":"
"2004","Czechia","Gini coefficient (scale from 0 to 100)",":"
"2004","Denmark","Gini coefficient (scale from 0 to 100)","44.7"
"2004","Germany (until 1990 former territory of the FRG)","Gini coefficient (scale from 0 to 100)",":"
"2004","Estonia","Gini coefficient (scale from 0 to 100)","52.5"
