freq;unit;sectperf;geo\TIME_PERIOD,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 
A;PC_GDP;TOTAL;AT,2.57 e,2.6 ,2.73 e,2.67 ,2.91 e,2.95 ,3.08 e,3.05 ,3.12 e,3.06 ,3.14 p,3.19 p
A;PC_GDP;TOTAL;BA,: ,: ,: ,: ,0.27 ,0.32 ,0.26 ,: ,: ,: ,: ,: 
A;PC_GDP;TOTAL;BE,1.94 ,2 ,2.06 ,2.17 ,2.28 ,2.33 ,2.37 ,2.43 ,2.52 ,2.67 ,2.67 e,2.89 p
A;PC_GDP;TOTAL;BG,0.45 ,0.49 ,0.57 ,0.53 ,0.6 ,0.64 ,0.79 ,0.95 ,0.77 ,0.74 ,0.76 ,0.84 p
A;PC_GDP;TOTAL;CH,2.64 ,: ,: ,: ,3.08 ,: ,: ,3.26 ,: ,3.18 ,: ,: 
A;PC_GDP;TOTAL;CN_X_HK,1.44 ,1.66 b,1.71 ,1.78 ,1.91 ,1.99 ,2.02 ,2.06 ,2.1 ,2.12 ,2.14 ,: 
A;PC_GDP;TOTAL;CY,0.39 ,0.44 ,0.44 ,0.45 ,0.44 ,0.49 ,0.51 ,0.48 ,0.52 ,0.55 ,0.62 ,0.63 p
A;PC_GDP;TOTAL;CZ,1.23 ,1.29 ,1.33 ,1.54 ,1.77 ,1.88 ,1.96 ,1.92 ,1.67 ,1.77 ,1.9 ,1.94 p
A;PC_GDP;TOTAL;DE,2.62 ,2.74 ,2.73 ,2.81 ,2.88 ,2.84 ,2.88 ,2.93 ,2.94 ,3.05 ,3.12 ,3.17 e
A;PC_GDP;TOTAL;DK,2.77 ,3.06 ,2.92 ,2.94 ,2.98 ,2.97 ,2.91 ,3.06 ,3.09 ,3.03 p,3.02 p,2.96 p
A;PC_GDP;TOTAL;EA19,1.89 ,1.99 ,2 ,2.04 ,2.1 ,2.12 ,2.14 ,2.15 ,2.14 ,2.18 ,2.21 ,2.23 p
A;PC_GDP;TOTAL;EE,1.25 ,1.39 ,1.57 ,2.28 ,2.11 ,1.71 ,1.42 ,1.46 ,1.23 ,1.28 ,1.41 ,1.61 p
A;PC_GDP;TOTAL;EL,0.66 be,0.63 e,0.6 e,0.68 ,0.71 ,0.82 ,0.84 ,0.97 ,1.01 ,1.15 ,1.21 ,1.27 p
