"TIME","GEO","SEX","WORKTIME","WSTATUS","NACE_R2","UNIT","Value"
"2008","European Union - 27 countries (from 2020)","Total","Total","Employed persons","Total - all NACE activities","Hour","38.0"
"2008","European Union - 27 countries (from 2020)","Males","Total","Employed persons","Total - all NACE activities","Hour","41.0"
"2008","European Union - 27 countries (from 2020)","Females","Total","Employed persons","Total - all NACE activities","Hour","34.3"
"2008","European Union - 28 countries (2013-2020)","Total","Total","Employed persons","Total - all NACE activities","Hour","37.9"
"2008","European Union - 28 countries (2013-2020)","Males","Total","Employed persons","Total - all NACE activities","Hour","41.0"
"2008","European Union - 28 countries (2013-2020)","Females","Total","Employed persons","Total - all NACE activities","Hour","34.0"
"2008","European Union - 15 countries (1995-2004)","Total","Total","Employed persons","Total - all NACE activities","Hour","37.1"
"2008","European Union - 15 countries (1995-2004)","Males","Total","Employed persons","Total - all NACE activities","Hour","40.7"
"2008","European Union - 15 countries (1995-2004)","Females","Total","Employed persons","Total - all NACE activities","Hour","32.6"
"2008","Euro area - 19 countries  (from 2015)","Total","Total","Employed persons","Total - all NACE activities","Hour","37.4"
"2008","Euro area - 19 countries  (from 2015)","Males","Total","Employed persons","Total - all NACE activities","Hour","40.8"
"2008","Euro area - 19 countries  (from 2015)","Females","Total","Employed persons","Total - all NACE activities","Hour","33.2"
"2008","Belgium","Total","Total","Employed persons","Total - all NACE activities","Hour","36.8"
"2008","Belgium","Males","Total","Employed persons","Total - all NACE activities","Hour","40.3"
"2008","Belgium","Females","Total","Employed persons","Total - all NACE activities","Hour","32.6"
"2008","Bulgaria","Total","Total","Employed persons","Total - all NACE activities","Hour","41.6"
"2008","Bulgaria","Males","Total","Employed persons","Total - all NACE activities","Hour","42.2"
"2008","Bulgaria","Females","Total","Employed persons","Total - all NACE activities","Hour","41.0"
"2008","Czechia","Total","Total","Employed persons","Total - all NACE activities","Hour","41.7"
"2008","Czechia","Males","Total","Employed persons","Total - all NACE activities","Hour","43.4"
"2008","Czechia","Females","Total","Employed persons","Total - all NACE activities","Hour","39.5"
"2008","Denmark","Total","Total","Employed persons","Total - all NACE activities","Hour","34.3"
"2008","Denmark","Males","Total","Employed persons","Total - all NACE activities","Hour","36.4"
"2008","Denmark","Females","Total","Employed persons","Total - all NACE activities","Hour","31.9"
"2008","Germany (until 1990 former territory of the FRG)","Total","Total","Employed persons","Total - all NACE activities","Hour","35.6"
"2008","Germany (until 1990 former territory of the FRG)","Males","Total","Employed persons","Total - all NACE activities","Hour","40.0"
"2008","Germany (until 1990 former territory of the FRG)","Females","Total","Employed persons","Total - all NACE activities","Hour","30.3"
"2008","Estonia","Total","Total","Employed persons","Total - all NACE activities","Hour","39.4"
"2008","Estonia","Males","Total","Employed persons","Total - all NACE activities","Hour","40.7"
"2008","Estonia","Females","Total","Employed persons","Total - all NACE activities","Hour","38.2"
"2008","Ireland","Total","Total","Employed persons","Total - all NACE activities","Hour","35.9"
"2008","Ireland","Males","Total","Employed persons","Total - all NACE activities","Hour","39.9"
"2008","Ireland","Females","Total","Employed persons","Total - all NACE activities","Hour","31.4"
"2008","Greece","Total","Total","Employed persons","Total - all NACE activities","Hour","42.4"
"2008","Greece","Males","Total","Employed persons","Total - all NACE activities","Hour","44.4"
"2008","Greece","Females","Total","Employed persons","Total - all NACE activities","Hour","39.3"
"2008","Spain","Total","Total","Employed persons","Total - all NACE activities","Hour","39.1"
"2008","Spain","Males","Total","Employed persons","Total - all NACE activities","Hour","41.8"
"2008","Spain","Females","Total","Employed persons","Total - all NACE activities","Hour","35.6"
"2008","France","Total","Total","Employed persons","Total - all NACE activities","Hour","38.1"
"2008","France","Males","Total","Employed persons","Total - all NACE activities","Hour","41.2"
"2008","France","Females","Total","Employed persons","Total - all NACE activities","Hour","34.7"
"2008","Croatia","Total","Total","Employed persons","Total - all NACE activities","Hour","40.5"
"2008","Croatia","Males","Total","Employed persons","Total - all NACE activities","Hour","41.5"
"2008","Croatia","Females","Total","Employed persons","Total - all NACE activities","Hour","39.2"
"2008","Italy","Total","Total","Employed persons","Total - all NACE activities","Hour","38.2"
"2008","Italy","Males","Total","Employed persons","Total - all NACE activities","Hour","41.3"
"2008","Italy","Females","Total","Employed persons","Total - all NACE activities","Hour","33.6"
"2008","Cyprus","Total","Total","Employed persons","Total - all NACE activities","Hour","40.2"
"2008","Cyprus","Males","Total","Employed persons","Total - all NACE activities","Hour","42.2"
"2008","Cyprus","Females","Total","Employed persons","Total - all NACE activities","Hour","37.9"
"2008","Latvia","Total","Total","Employed persons","Total - all NACE activities","Hour","40.1"
"2008","Latvia","Males","Total","Employed persons","Total - all NACE activities","Hour","41.2"
"2008","Latvia","Females","Total","Employed persons","Total - all NACE activities","Hour","39.0"
"2008","Lithuania","Total","Total","Employed persons","Total - all NACE activities","Hour","39.2"
"2008","Lithuania","Males","Total","Employed persons","Total - all NACE activities","Hour","39.9"
