"TIME","GEO","UNIT","NA_ITEM","Value"
"1975","European Union - 27 countries (from 2020)","Chain linked volumes, index 2010=100","Gross domestic product at market prices",":"
"1975","European Union - 27 countries (from 2020)","Chain linked volumes, index 2005=100","Gross domestic product at market prices",":"
"1975","European Union - 27 countries (from 2020)","Current prices, million euro","Gross domestic product at market prices",":"
"1975","European Union - 28 countries (2013-2020)","Chain linked volumes, index 2010=100","Gross domestic product at market prices",":"
"1975","European Union - 28 countries (2013-2020)","Chain linked volumes, index 2005=100","Gross domestic product at market prices",":"
"1975","European Union - 28 countries (2013-2020)","Current prices, million euro","Gross domestic product at market prices",":"
"1975","European Union - 15 countries (1995-2004)","Chain linked volumes, index 2010=100","Gross domestic product at market prices",":"
"1975","European Union - 15 countries (1995-2004)","Chain linked volumes, index 2005=100","Gross domestic product at market prices",":"
"1975","European Union - 15 countries (1995-2004)","Current prices, million euro","Gross domestic product at market prices",":"
"1975","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Chain linked volumes, index 2010=100","Gross domestic product at market prices",":"
"1975","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Chain linked volumes, index 2005=100","Gross domestic product at market prices",":"
"1975","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Current prices, million euro","Gross domestic product at market prices",":"
"1975","Euro area - 19 countries  (from 2015)","Chain linked volumes, index 2010=100","Gross domestic product at market prices",":"
"1975","Euro area - 19 countries  (from 2015)","Chain linked volumes, index 2005=100","Gross domestic product at market prices",":"
"1975","Euro area - 19 countries  (from 2015)","Current prices, million euro","Gross domestic product at market prices",":"
"1975","Euro area - 12 countries (2001-2006)","Chain linked volumes, index 2010=100","Gross domestic product at market prices",":"
"1975","Euro area - 12 countries (2001-2006)","Chain linked volumes, index 2005=100","Gross domestic product at market prices",":"
"1975","Euro area - 12 countries (2001-2006)","Current prices, million euro","Gross domestic product at market prices",":"
"1975","Belgium","Chain linked volumes, index 2010=100","Gross domestic product at market prices",":"
"1975","Belgium","Chain linked volumes, index 2005=100","Gross domestic product at market prices",":"
"1975","Belgium","Current prices, million euro","Gross domestic product at market prices",":"
"1975","Bulgaria","Chain linked volumes, index 2010=100","Gross domestic product at market prices",":"
"1975","Bulgaria","Chain linked volumes, index 2005=100","Gross domestic product at market prices",":"
"1975","Bulgaria","Current prices, million euro","Gross domestic product at market prices",":"
"1975","Czechia","Chain linked volumes, index 2010=100","Gross domestic product at market prices",":"
"1975","Czechia","Chain linked volumes, index 2005=100","Gross domestic product at market prices",":"
"1975","Czechia","Current prices, million euro","Gross domestic product at market prices",":"
"1975","Denmark","Chain linked volumes, index 2010=100","Gross domestic product at market prices","50.8"
"1975","Denmark","Chain linked volumes, index 2005=100","Gross domestic product at market prices","51.3"
"1975","Denmark","Current prices, million euro","Gross domestic product at market prices","32,652.5"
"1975","Germany (until 1990 former territory of the FRG)","Chain linked volumes, index 2010=100","Gross domestic product at market prices",":"
"1975","Germany (until 1990 former territory of the FRG)","Chain linked volumes, index 2005=100","Gross domestic product at market prices",":"
"1975","Germany (until 1990 former territory of the FRG)","Current prices, million euro","Gross domestic product at market prices",":"
"1975","Estonia","Chain linked volumes, index 2010=100","Gross domestic product at market prices",":"
"1975","Estonia","Chain linked volumes, index 2005=100","Gross domestic product at market prices",":"
"1975","Estonia","Current prices, million euro","Gross domestic product at market prices",":"
"1975","Ireland","Chain linked volumes, index 2010=100","Gross domestic product at market prices",":"
"1975","Ireland","Chain linked volumes, index 2005=100","Gross domestic product at market prices",":"
"1975","Ireland","Current prices, million euro","Gross domestic product at market prices",":"
"1975","Greece","Chain linked volumes, index 2010=100","Gross domestic product at market prices",":"
"1975","Greece","Chain linked volumes, index 2005=100","Gross domestic product at market prices",":"
"1975","Greece","Current prices, million euro","Gross domestic product at market prices",":"
"1975","Spain","Chain linked volumes, index 2010=100","Gross domestic product at market prices",":"
"1975","Spain","Chain linked volumes, index 2005=100","Gross domestic product at market prices",":"
"1975","Spain","Current prices, million euro","Gross domestic product at market prices",":"
"1975","France","Chain linked volumes, index 2010=100","Gross domestic product at market prices","47.5"
"1975","France","Chain linked volumes, index 2005=100","Gross domestic product at market prices","49.5"
"1975","France","Current prices, million euro","Gross domestic product at market prices","290,877.3"
"1975","Croatia","Chain linked volumes, index 2010=100","Gross domestic product at market prices",":"
"1975","Croatia","Chain linked volumes, index 2005=100","Gross domestic product at market prices",":"
"1975","Croatia","Current prices, million euro","Gross domestic product at market prices",":"
"1975","Italy","Chain linked volumes, index 2010=100","Gross domestic product at market prices",":"
"1975","Italy","Chain linked volumes, index 2005=100","Gross domestic product at market prices",":"
"1975","Italy","Current prices, million euro","Gross domestic product at market prices",":"
"1975","Cyprus","Chain linked volumes, index 2010=100","Gross domestic product at market prices",":"
"1975","Cyprus","Chain linked volumes, index 2005=100","Gross domestic product at market prices",":"
"1975","Cyprus","Current prices, million euro","Gross domestic product at market prices",":"
"1975","Latvia","Chain linked volumes, index 2010=100","Gross domestic product at market prices",":"
"1975","Latvia","Chain linked volumes, index 2005=100","Gross domestic product at market prices",":"
"1975","Latvia","Current prices, million euro","Gross domestic product at market prices",":"
"1975","Lithuania","Chain linked volumes, index 2010=100","Gross domestic product at market prices",":"
