"TIME","GEO","UNIT","NA_ITEM","Value"
"1975","European Union - 27 countries (from 2020)","Current prices, euro per capita","Gross domestic product at market prices",":"
"1975","European Union - 27 countries (from 2020)","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1975","European Union - 28 countries (2013-2020)","Current prices, euro per capita","Gross domestic product at market prices",":"
"1975","European Union - 28 countries (2013-2020)","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1975","European Union - 15 countries (1995-2004)","Current prices, euro per capita","Gross domestic product at market prices",":"
"1975","European Union - 15 countries (1995-2004)","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1975","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Current prices, euro per capita","Gross domestic product at market prices",":"
"1975","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1975","Euro area - 19 countries  (from 2015)","Current prices, euro per capita","Gross domestic product at market prices",":"
"1975","Euro area - 19 countries  (from 2015)","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1975","Euro area - 12 countries (2001-2006)","Current prices, euro per capita","Gross domestic product at market prices",":"
"1975","Euro area - 12 countries (2001-2006)","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1975","Belgium","Current prices, euro per capita","Gross domestic product at market prices",":"
"1975","Belgium","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1975","Bulgaria","Current prices, euro per capita","Gross domestic product at market prices",":"
"1975","Bulgaria","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1975","Czechia","Current prices, euro per capita","Gross domestic product at market prices",":"
"1975","Czechia","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1975","Denmark","Current prices, euro per capita","Gross domestic product at market prices","6,450"
"1975","Denmark","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices","55.6"
"1975","Germany (until 1990 former territory of the FRG)","Current prices, euro per capita","Gross domestic product at market prices",":"
"1975","Germany (until 1990 former territory of the FRG)","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1975","Estonia","Current prices, euro per capita","Gross domestic product at market prices",":"
"1975","Estonia","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1975","Ireland","Current prices, euro per capita","Gross domestic product at market prices",":"
"1975","Ireland","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1975","Greece","Current prices, euro per capita","Gross domestic product at market prices",":"
"1975","Greece","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1975","Spain","Current prices, euro per capita","Gross domestic product at market prices",":"
"1975","Spain","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1975","France","Current prices, euro per capita","Gross domestic product at market prices","5,390"
"1975","France","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices","57.3"
"1975","Croatia","Current prices, euro per capita","Gross domestic product at market prices",":"
"1975","Croatia","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1975","Italy","Current prices, euro per capita","Gross domestic product at market prices",":"
"1975","Italy","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1975","Cyprus","Current prices, euro per capita","Gross domestic product at market prices",":"
"1975","Cyprus","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1975","Latvia","Current prices, euro per capita","Gross domestic product at market prices",":"
"1975","Latvia","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1975","Lithuania","Current prices, euro per capita","Gross domestic product at market prices",":"
"1975","Lithuania","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1975","Luxembourg","Current prices, euro per capita","Gross domestic product at market prices",":"
"1975","Luxembourg","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1975","Hungary","Current prices, euro per capita","Gross domestic product at market prices",":"
"1975","Hungary","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1975","Malta","Current prices, euro per capita","Gross domestic product at market prices",":"
"1975","Malta","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1975","Netherlands","Current prices, euro per capita","Gross domestic product at market prices",":"
"1975","Netherlands","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1975","Austria","Current prices, euro per capita","Gross domestic product at market prices",":"
"1975","Austria","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1975","Poland","Current prices, euro per capita","Gross domestic product at market prices",":"
"1975","Poland","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1975","Portugal","Current prices, euro per capita","Gross domestic product at market prices",":"
"1975","Portugal","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1975","Romania","Current prices, euro per capita","Gross domestic product at market prices",":"
"1975","Romania","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1975","Slovenia","Current prices, euro per capita","Gross domestic product at market prices",":"
"1975","Slovenia","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1975","Slovakia","Current prices, euro per capita","Gross domestic product at market prices",":"
"1975","Slovakia","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1975","Finland","Current prices, euro per capita","Gross domestic product at market prices",":"
"1975","Finland","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1975","Sweden","Current prices, euro per capita","Gross domestic product at market prices",":"
"1975","Sweden","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1975","Iceland","Current prices, euro per capita","Gross domestic product at market prices",":"
"1975","Iceland","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
