"TIME","GEO","ISCED11","AGE","SEX","Value"
"2003","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","All ISCED 2011 levels ","18 years or over","Total",":"
"2003","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","All ISCED 2011 levels ","18 years or over","Males",":"
"2003","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","All ISCED 2011 levels ","18 years or over","Females",":"
"2003","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Less than primary, primary and lower secondary education (levels 0-2)","18 years or over","Total",":"
"2003","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Less than primary, primary and lower secondary education (levels 0-2)","18 years or over","Males",":"
"2003","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Less than primary, primary and lower secondary education (levels 0-2)","18 years or over","Females",":"
"2003","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","18 years or over","Total",":"
"2003","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","18 years or over","Males",":"
"2003","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","18 years or over","Females",":"
"2003","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Tertiary education (levels 5-8)","18 years or over","Total",":"
"2003","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Tertiary education (levels 5-8)","18 years or over","Males",":"
"2003","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Tertiary education (levels 5-8)","18 years or over","Females",":"
"2003","European Union - 27 countries (from 2020)","All ISCED 2011 levels ","18 years or over","Total",":"
"2003","European Union - 27 countries (from 2020)","All ISCED 2011 levels ","18 years or over","Males",":"
"2003","European Union - 27 countries (from 2020)","All ISCED 2011 levels ","18 years or over","Females",":"
"2003","European Union - 27 countries (from 2020)","Less than primary, primary and lower secondary education (levels 0-2)","18 years or over","Total",":"
"2003","European Union - 27 countries (from 2020)","Less than primary, primary and lower secondary education (levels 0-2)","18 years or over","Males",":"
"2003","European Union - 27 countries (from 2020)","Less than primary, primary and lower secondary education (levels 0-2)","18 years or over","Females",":"
"2003","European Union - 27 countries (from 2020)","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","18 years or over","Total",":"
"2003","European Union - 27 countries (from 2020)","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","18 years or over","Males",":"
"2003","European Union - 27 countries (from 2020)","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","18 years or over","Females",":"
"2003","European Union - 27 countries (from 2020)","Tertiary education (levels 5-8)","18 years or over","Total",":"
"2003","European Union - 27 countries (from 2020)","Tertiary education (levels 5-8)","18 years or over","Males",":"
"2003","European Union - 27 countries (from 2020)","Tertiary education (levels 5-8)","18 years or over","Females",":"
"2003","European Union - 28 countries (2013-2020)","All ISCED 2011 levels ","18 years or over","Total",":"
"2003","European Union - 28 countries (2013-2020)","All ISCED 2011 levels ","18 years or over","Males",":"
"2003","European Union - 28 countries (2013-2020)","All ISCED 2011 levels ","18 years or over","Females",":"
"2003","European Union - 28 countries (2013-2020)","Less than primary, primary and lower secondary education (levels 0-2)","18 years or over","Total",":"
"2003","European Union - 28 countries (2013-2020)","Less than primary, primary and lower secondary education (levels 0-2)","18 years or over","Males",":"
"2003","European Union - 28 countries (2013-2020)","Less than primary, primary and lower secondary education (levels 0-2)","18 years or over","Females",":"
"2003","European Union - 28 countries (2013-2020)","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","18 years or over","Total",":"
"2003","European Union - 28 countries (2013-2020)","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","18 years or over","Males",":"
"2003","European Union - 28 countries (2013-2020)","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","18 years or over","Females",":"
"2003","European Union - 28 countries (2013-2020)","Tertiary education (levels 5-8)","18 years or over","Total",":"
"2003","European Union - 28 countries (2013-2020)","Tertiary education (levels 5-8)","18 years or over","Males",":"
"2003","European Union - 28 countries (2013-2020)","Tertiary education (levels 5-8)","18 years or over","Females",":"
"2003","European Union - 27 countries (2007-2013)","All ISCED 2011 levels ","18 years or over","Total",":"
"2003","European Union - 27 countries (2007-2013)","All ISCED 2011 levels ","18 years or over","Males",":"
"2003","European Union - 27 countries (2007-2013)","All ISCED 2011 levels ","18 years or over","Females",":"
"2003","European Union - 27 countries (2007-2013)","Less than primary, primary and lower secondary education (levels 0-2)","18 years or over","Total",":"
"2003","European Union - 27 countries (2007-2013)","Less than primary, primary and lower secondary education (levels 0-2)","18 years or over","Males",":"
"2003","European Union - 27 countries (2007-2013)","Less than primary, primary and lower secondary education (levels 0-2)","18 years or over","Females",":"
"2003","European Union - 27 countries (2007-2013)","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","18 years or over","Total",":"
"2003","European Union - 27 countries (2007-2013)","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","18 years or over","Males",":"
"2003","European Union - 27 countries (2007-2013)","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","18 years or over","Females",":"
"2003","European Union - 27 countries (2007-2013)","Tertiary education (levels 5-8)","18 years or over","Total",":"
"2003","European Union - 27 countries (2007-2013)","Tertiary education (levels 5-8)","18 years or over","Males",":"
"2003","European Union - 27 countries (2007-2013)","Tertiary education (levels 5-8)","18 years or over","Females",":"
"2003","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","All ISCED 2011 levels ","18 years or over","Total",":"
"2003","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","All ISCED 2011 levels ","18 years or over","Males",":"
"2003","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","All ISCED 2011 levels ","18 years or over","Females",":"
"2003","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Less than primary, primary and lower secondary education (levels 0-2)","18 years or over","Total",":"
"2003","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Less than primary, primary and lower secondary education (levels 0-2)","18 years or over","Males",":"
"2003","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Less than primary, primary and lower secondary education (levels 0-2)","18 years or over","Females",":"
"2003","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","18 years or over","Total",":"
"2003","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","18 years or over","Males",":"
"2003","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","18 years or over","Females",":"
"2003","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Tertiary education (levels 5-8)","18 years or over","Total",":"
"2003","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Tertiary education (levels 5-8)","18 years or over","Males",":"
"2003","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Tertiary education (levels 5-8)","18 years or over","Females",":"
"2003","Euro area - 19 countries  (from 2015)","All ISCED 2011 levels ","18 years or over","Total",":"
"2003","Euro area - 19 countries  (from 2015)","All ISCED 2011 levels ","18 years or over","Males",":"
"2003","Euro area - 19 countries  (from 2015)","All ISCED 2011 levels ","18 years or over","Females",":"
"2003","Euro area - 19 countries  (from 2015)","Less than primary, primary and lower secondary education (levels 0-2)","18 years or over","Total",":"
"2003","Euro area - 19 countries  (from 2015)","Less than primary, primary and lower secondary education (levels 0-2)","18 years or over","Males",":"
"2003","Euro area - 19 countries  (from 2015)","Less than primary, primary and lower secondary education (levels 0-2)","18 years or over","Females",":"
"2003","Euro area - 19 countries  (from 2015)","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","18 years or over","Total",":"
"2003","Euro area - 19 countries  (from 2015)","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","18 years or over","Males",":"
"2003","Euro area - 19 countries  (from 2015)","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","18 years or over","Females",":"
"2003","Euro area - 19 countries  (from 2015)","Tertiary education (levels 5-8)","18 years or over","Total",":"
"2003","Euro area - 19 countries  (from 2015)","Tertiary education (levels 5-8)","18 years or over","Males",":"
"2003","Euro area - 19 countries  (from 2015)","Tertiary education (levels 5-8)","18 years or over","Females",":"
"2003","Euro area - 18 countries (2014)","All ISCED 2011 levels ","18 years or over","Total",":"
"2003","Euro area - 18 countries (2014)","All ISCED 2011 levels ","18 years or over","Males",":"
"2003","Euro area - 18 countries (2014)","All ISCED 2011 levels ","18 years or over","Females",":"
"2003","Euro area - 18 countries (2014)","Less than primary, primary and lower secondary education (levels 0-2)","18 years or over","Total",":"
"2003","Euro area - 18 countries (2014)","Less than primary, primary and lower secondary education (levels 0-2)","18 years or over","Males",":"
"2003","Euro area - 18 countries (2014)","Less than primary, primary and lower secondary education (levels 0-2)","18 years or over","Females",":"
"2003","Euro area - 18 countries (2014)","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","18 years or over","Total",":"
"2003","Euro area - 18 countries (2014)","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","18 years or over","Males",":"
"2003","Euro area - 18 countries (2014)","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","18 years or over","Females",":"
"2003","Euro area - 18 countries (2014)","Tertiary education (levels 5-8)","18 years or over","Total",":"
"2003","Euro area - 18 countries (2014)","Tertiary education (levels 5-8)","18 years or over","Males",":"
"2003","Euro area - 18 countries (2014)","Tertiary education (levels 5-8)","18 years or over","Females",":"
"2003","Belgium","All ISCED 2011 levels ","18 years or over","Total","23.5"
"2003","Belgium","All ISCED 2011 levels ","18 years or over","Males","21.8"
"2003","Belgium","All ISCED 2011 levels ","18 years or over","Females","25.2"
"2003","Belgium","Less than primary, primary and lower secondary education (levels 0-2)","18 years or over","Total","34.3"
"2003","Belgium","Less than primary, primary and lower secondary education (levels 0-2)","18 years or over","Males","32.6"
"2003","Belgium","Less than primary, primary and lower secondary education (levels 0-2)","18 years or over","Females","35.7"
"2003","Belgium","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","18 years or over","Total","20.5"
"2003","Belgium","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","18 years or over","Males","18.6"
"2003","Belgium","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","18 years or over","Females","22.6"
"2003","Belgium","Tertiary education (levels 5-8)","18 years or over","Total","12.0"
"2003","Belgium","Tertiary education (levels 5-8)","18 years or over","Males","12.2"
"2003","Belgium","Tertiary education (levels 5-8)","18 years or over","Females","11.9"
"2003","Bulgaria","All ISCED 2011 levels ","18 years or over","Total",":"
"2003","Bulgaria","All ISCED 2011 levels ","18 years or over","Males",":"
"2003","Bulgaria","All ISCED 2011 levels ","18 years or over","Females",":"
"2003","Bulgaria","Less than primary, primary and lower secondary education (levels 0-2)","18 years or over","Total",":"
"2003","Bulgaria","Less than primary, primary and lower secondary education (levels 0-2)","18 years or over","Males",":"
"2003","Bulgaria","Less than primary, primary and lower secondary education (levels 0-2)","18 years or over","Females",":"
"2003","Bulgaria","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","18 years or over","Total",":"
"2003","Bulgaria","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","18 years or over","Males",":"
"2003","Bulgaria","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","18 years or over","Females",":"
"2003","Bulgaria","Tertiary education (levels 5-8)","18 years or over","Total",":"
"2003","Bulgaria","Tertiary education (levels 5-8)","18 years or over","Males",":"
"2003","Bulgaria","Tertiary education (levels 5-8)","18 years or over","Females",":"
"2003","Czechia","All ISCED 2011 levels ","18 years or over","Total",":"
"2003","Czechia","All ISCED 2011 levels ","18 years or over","Males",":"
"2003","Czechia","All ISCED 2011 levels ","18 years or over","Females",":"
"2003","Czechia","Less than primary, primary and lower secondary education (levels 0-2)","18 years or over","Total",":"
"2003","Czechia","Less than primary, primary and lower secondary education (levels 0-2)","18 years or over","Males",":"
"2003","Czechia","Less than primary, primary and lower secondary education (levels 0-2)","18 years or over","Females",":"
"2003","Czechia","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","18 years or over","Total",":"
"2003","Czechia","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","18 years or over","Males",":"
"2003","Czechia","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","18 years or over","Females",":"
"2003","Czechia","Tertiary education (levels 5-8)","18 years or over","Total",":"
"2003","Czechia","Tertiary education (levels 5-8)","18 years or over","Males",":"
"2003","Czechia","Tertiary education (levels 5-8)","18 years or over","Females",":"
"2003","Denmark","All ISCED 2011 levels ","18 years or over","Total","16.9"
