"TIME","GEO","UNIT","NACE_R2","INDIC_SE","Value","Flag and Footnotes"
"2005","Belgium","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2005","Belgium","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2005","Belgium","Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2005","Belgium","Percentage","Business economy","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2005","Bulgaria","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2005","Bulgaria","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2005","Bulgaria","Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2005","Bulgaria","Percentage","Business economy","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2005","Czechia","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2005","Czechia","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2005","Czechia","Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2005","Czechia","Percentage","Business economy","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2005","Denmark","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2005","Denmark","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2005","Denmark","Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2005","Denmark","Percentage","Business economy","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2005","Germany (until 1990 former territory of the FRG)","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2005","Germany (until 1990 former territory of the FRG)","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2005","Germany (until 1990 former territory of the FRG)","Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2005","Germany (until 1990 former territory of the FRG)","Percentage","Business economy","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2005","Estonia","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2005","Estonia","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2005","Estonia","Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2005","Estonia","Percentage","Business economy","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2005","Ireland","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2005","Ireland","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2005","Ireland","Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2005","Ireland","Percentage","Business economy","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2005","Greece","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2005","Greece","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2005","Greece","Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2005","Greece","Percentage","Business economy","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2005","Spain","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2005","Spain","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2005","Spain","Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2005","Spain","Percentage","Business economy","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2005","France","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2005","France","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2005","France","Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2005","France","Percentage","Business economy","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2005","Croatia","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2005","Croatia","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2005","Croatia","Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2005","Croatia","Percentage","Business economy","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2005","Italy","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2005","Italy","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2005","Italy","Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2005","Italy","Percentage","Business economy","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2005","Cyprus","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2005","Cyprus","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2005","Cyprus","Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2005","Cyprus","Percentage","Business economy","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2005","Latvia","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2005","Latvia","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2005","Latvia","Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2005","Latvia","Percentage","Business economy","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2005","Lithuania","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2005","Lithuania","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2005","Lithuania","Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2005","Lithuania","Percentage","Business economy","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2005","Luxembourg","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2005","Luxembourg","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2005","Luxembourg","Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2005","Luxembourg","Percentage","Business economy","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2005","Hungary","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2005","Hungary","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2005","Hungary","Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2005","Hungary","Percentage","Business economy","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2005","Malta","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings","50.5",""
"2005","Malta","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the median gross monthly earnings","56.6",""
"2005","Malta","Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings","50.6",""
"2005","Malta","Percentage","Business economy","Monthly minimum wage as a proportion of the median gross monthly earnings","57.4",""
"2005","Netherlands","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2005","Netherlands","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2005","Netherlands","Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2005","Netherlands","Percentage","Business economy","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2005","Austria","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2005","Austria","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2005","Austria","Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2005","Austria","Percentage","Business economy","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2005","Poland","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2005","Poland","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2005","Poland","Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2005","Poland","Percentage","Business economy","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2005","Portugal","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2005","Portugal","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
