"TIME","GEO","CURRENCY","Value"
"1999S1","Belgium","Euro","1,074.44"
"1999S1","Bulgaria","Euro","31.19"
"1999S1","Czechia","Euro","92.35"
"1999S1","Denmark","Euro",":"
"1999S1","Germany (until 1990 former territory of the FRG)","Euro",":"
"1999S1","Estonia","Euro","79.89"
"1999S1","Ireland","Euro",":"
"1999S1","Greece","Euro","505.06"
"1999S1","Spain","Euro","485.71"
"1999S1","France","Euro","1,035.97"
"1999S1","Croatia","Euro",":"
"1999S1","Italy","Euro",":"
"1999S1","Cyprus","Euro",":"
"1999S1","Latvia","Euro","75.18"
"1999S1","Lithuania","Euro","92.14"
"1999S1","Luxembourg","Euro","1,162.08"
"1999S1","Hungary","Euro","89.15"
"1999S1","Malta","Euro","464.93"
"1999S1","Netherlands","Euro","1,064.20"
"1999S1","Austria","Euro",":"
"1999S1","Poland","Euro","158.94"
"1999S1","Portugal","Euro","356.72"
"1999S1","Romania","Euro","27.31"
"1999S1","Slovenia","Euro","361.33"
"1999S1","Slovakia","Euro","69.43"
"1999S1","Finland","Euro",":"
"1999S1","Sweden","Euro",":"
"1999S1","Iceland","Euro",":"
"1999S1","Norway","Euro",":"
"1999S1","Switzerland","Euro",":"
"1999S1","United Kingdom","Euro",":"
"1999S1","Montenegro","Euro",":"
"1999S1","North Macedonia","Euro",":"
"1999S1","Albania","Euro",":"
"1999S1","Serbia","Euro",":"
"1999S1","Turkey","Euro","213.51"
"1999S1","United States","Euro","765.12"
"1999S2","Belgium","Euro","1,095.89"
"1999S2","Bulgaria","Euro","34.26"
"1999S2","Czechia","Euro","98.85"
"1999S2","Denmark","Euro",":"
"1999S2","Germany (until 1990 former territory of the FRG)","Euro",":"
"1999S2","Estonia","Euro","79.89"
"1999S2","Ireland","Euro",":"
"1999S2","Greece","Euro","512.13"
"1999S2","Spain","Euro","485.71"
"1999S2","France","Euro","1,049.49"
"1999S2","Croatia","Euro",":"
"1999S2","Italy","Euro",":"
